"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
931,19.5,19.5,80.5,"Homberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
932,13.6,13.6,86.4,"Horrenbach-Buchen (BE)","Les résultats ne sont pas encore connus dans cette commune."
934,25.3,25.3,74.7,"Oberhofen am Thunersee (BE)","Les résultats ne sont pas encore connus dans cette commune."
935,14.3,14.3,85.7,"Oberlangenegg (BE)","Les résultats ne sont pas encore connus dans cette commune."
936,11.1,11.1,88.9,"Pohlern (BE)","Les résultats ne sont pas encore connus dans cette commune."
938,21.1,21.1,78.9,"Sigriswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
939,26.5,26.5,73.5,"Steffisburg (BE)","Les résultats ne sont pas encore connus dans cette commune."
940,14.5,14.5,85.5,"Teuffenthal (BE)","Les résultats ne sont pas encore connus dans cette commune."
941,21.4,21.4,78.6,"Thierachern (BE)","Les résultats ne sont pas encore connus dans cette commune."
942,32.5,32.5,67.5,"Thoune (BE)","Les résultats ne sont pas encore connus dans cette commune."
943,21.5,21.5,78.5,"Uebeschi (BE)","Les résultats ne sont pas encore connus dans cette commune."
944,20.1,20.1,79.9,"Uetendorf (BE)","Les résultats ne sont pas encore connus dans cette commune."
945,22.5,22.5,77.5,"Unterlangenegg (BE)","Les résultats ne sont pas encore connus dans cette commune."
946,9.1,9.1,90.9,"Wachseldorn (BE)","Les résultats ne sont pas encore connus dans cette commune."
947,19.7,19.7,80.3,"Zwieselberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
948,17.6,17.6,82.4,"Forst-Längenbühl (BE)","Les résultats ne sont pas encore connus dans cette commune."
951,16.3,16.3,83.7,"Affoltern im Emmental (BE)","Les résultats ne sont pas encore connus dans cette commune."
952,19.8,19.8,80.2,"Dürrenroth (BE)","Les résultats ne sont pas encore connus dans cette commune."
953,15.9,15.9,84.1,"Eriswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
954,20,20,80,"Huttwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
955,20.5,20.5,79.5,"Lützelflüh (BE)","Les résultats ne sont pas encore connus dans cette commune."
956,18.9,18.9,81.1,"Rüegsau (BE)","Les résultats ne sont pas encore connus dans cette commune."
957,20.4,20.4,79.6,"Sumiswald (BE)","Les résultats ne sont pas encore connus dans cette commune."
958,18,18,82,"Trachselwald (BE)","Les résultats ne sont pas encore connus dans cette commune."
959,16.2,16.2,83.8,"Walterswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
960,15.1,15.1,84.9,"Wyssachen (BE)","Les résultats ne sont pas encore connus dans cette commune."
971,19.5,19.5,80.5,"Attiswil (BE)","Les résultats ne sont pas encore connus dans cette commune."
972,3.8,3.8,96.2,"Berken (BE)","Les résultats ne sont pas encore connus dans cette commune."
973,23.4,23.4,76.6,"Bettenhausen (BE)","Les résultats ne sont pas encore connus dans cette commune."
975,22.2,22.2,77.8,"Farnern (BE)","Les résultats ne sont pas encore connus dans cette commune."
976,22.5,22.5,77.5,"Graben (BE)","Les résultats ne sont pas encore connus dans cette commune."
977,15.2,15.2,84.8,"Heimenhausen (BE)","Les résultats ne sont pas encore connus dans cette commune."
979,26.4,26.4,73.6,"Herzogenbuchsee (BE)","Les résultats ne sont pas encore connus dans cette commune."
980,15.4,15.4,84.6,"Inkwil (BE)","Les résultats ne sont pas encore connus dans cette commune."
981,16.5,16.5,83.5,"Niederbipp (BE)","Les résultats ne sont pas encore connus dans cette commune."
982,23.4,23.4,76.6,"Niederönz (BE)","Les résultats ne sont pas encore connus dans cette commune."
983,19.7,19.7,80.3,"Oberbipp (BE)","Les résultats ne sont pas encore connus dans cette commune."
985,20.8,20.8,79.2,"Ochlenberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
987,23.4,23.4,76.6,"Rumisberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
988,21.1,21.1,78.9,"Seeberg (BE)","Les résultats ne sont pas encore connus dans cette commune."
989,16,16,84,"Thörigen (BE)","Les résultats ne sont pas encore connus dans cette commune."
990,11.5,11.5,88.5,"Walliswil bei Niederbipp (BE)","Les résultats ne sont pas encore connus dans cette commune."
991,20,20,80,"Walliswil bei Wangen (BE)","Les résultats ne sont pas encore connus dans cette commune."
992,19.7,19.7,80.3,"Wangen an der Aare (BE)","Les résultats ne sont pas encore connus dans cette commune."
993,20.3,20.3,79.7,"Wangenried (BE)","Les résultats ne sont pas encore connus dans cette commune."
995,24,24,76,"Wiedlisbach (BE)","Les résultats ne sont pas encore connus dans cette commune."
